path	relative_to	method	data_type	cohort	modality	source
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/pQTL/DLPFC/interaction/msex/	AD_LOCI_ROOT	msex interaction	pQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/pQTL/DLPFC/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	pQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/DLPFC_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_DLPFC_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/DLPFC/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/DLPFC/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/DLPFC/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_pQTL/export/summary/context_specific/DLPFC_Klein_gpQTL_adjusted.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	pQTL	ROSMAP	DLPFC_Klein_adjusted	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_pQTL/export/summary/context_specific/DLPFC_Klein_gpQTL_unadjusted.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	pQTL	ROSMAP	DLPFC_Klein_unadjusted	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Exc_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Exc_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Exc_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Exc_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cisAssociational/ROSMAP/eQTL/snuc_DeJager/Exc/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_DeJager/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Exc/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_DeJager/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Exc/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_DeJager/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Exc_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Exc_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Exc/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_Kellis/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Exc/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_Kellis/Exc	FunGen-xQTL release (Synapse syn68872650)
